Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,25 ohms,R_0603_1608Metric,-64.3,-44.8875,90,bottom
U1,BCR401U,SOP95P250X110-6N-1,-59.3,-42.4125,180,bottom
U2,BCR401U,SOP95P250X110-6N-1,-72,-43.3625,180,bottom
D1,D,D_0603_1608Metric,45.6125,-31.325,0,top
D2,D,D_0603_1608Metric,40.5125,-31.325,0,top
D3,D,D_0603_1608Metric,36.5,-35.4875,90,top
D4,D,D_0603_1608Metric,36.5,-40.0875,90,top
D5,D,D_0603_1608Metric,40.0125,-44.6,180,top
D6,D,D_0603_1608Metric,45.3125,-44.6,180,top
D7,D,D_0603_1608Metric,48.8,-47.8875,90,top
D8,D,D_0603_1608Metric,48.8,-52.8875,90,top
D9,D,D_0603_1608Metric,44.2125,-58.7,0,top
D10,D,D_0603_1608Metric,38.4125,-58.8,0,top
D11,D,D_0603_1608Metric,63.6,-58.3875,0,top
D12,D,D_0603_1608Metric,57.7125,-58.4875,0,top
D13,D,D_0603_1608Metric,66.8,-53.3125,-90,top
D14,D,D_0603_1608Metric,66.7,-48,-90,top
D15,D,D_0603_1608Metric,62.8125,-44.7875,0,top
D16,D,D_0603_1608Metric,58.2125,-44.6875,0,top
D17,D,D_0603_1608Metric,55.5,-39.4875,-90,top
D18,D,D_0603_1608Metric,55.5,-34.5,-90,top
D19,D,D_0603_1608Metric,60.4875,-30.9875,180,top
D20,D,D_0603_1608Metric,65.3875,-30.8875,180,top
D21,D,D_0603_1608Metric,79.5,-31.0125,180,top
D22,D,D_0603_1608Metric,85.5,-31.0125,180,top
D23,D,D_0603_1608Metric,89,-35.7625,90,top
D24,D,D_0603_1608Metric,89,-42.5125,90,top
D25,D,D_0603_1608Metric,85.5,-46.7625,0,top
D26,D,D_0603_1608Metric,79.5,-46.7625,0,top
D27,D,D_0603_1608Metric,75.8,-35.7625,90,top
D28,D,D_0603_1608Metric,75.8,-42.5125,90,top
D29,D,D_0603_1608Metric,75.8,-51.0125,90,top
D30,D,D_0603_1608Metric,75.8,-57.5125,90,top
D31,D,D_0603_1608Metric,89,-57.5125,-90,top
D32,D,D_0603_1608Metric,89,-51.0125,-90,top
J1,EJ508A,MPD_EJ508A,25.95,-31.8,-90,top
